seed,checkpoint,batch,batch_hash,scope,instances_or_assigned_positives,box_loss,cls_loss,dfl_loss,loc_norm,cls_norm,cls_to_loc_norm_ratio,log10_cls_to_loc_ratio,cosine,conflict,finite
43,epoch50,31,a97e08f577b4294fca98444b9e8371a1e6f50330c8c6f36739d4652e1115e800,all,27,1.3088799715042114,1.3741834163665771,0.010957629419863224,0.014566583558917046,0.01159435510635376,0.7959556926617969,-0.0991111068453085,-0.14211051166057587,1,1
43,epoch50,31,a97e08f577b4294fca98444b9e8371a1e6f50330c8c6f36739d4652e1115e800,D00,70,1.3088799715042114,1.3741834163665771,0.010957629419863224,0.026842128485441208,0.013803089037537575,0.5142322839645215,-0.28884066143971815,-0.2613637149333954,1,1
43,epoch50,31,a97e08f577b4294fca98444b9e8371a1e6f50330c8c6f36739d4652e1115e800,D10,60,1.3088799715042114,1.3741834163665771,0.010957629419863224,0.029323307797312737,0.023062726482748985,0.7864981209542299,-0.10430231062516229,-0.18863655626773834,1,1
43,epoch50,31,a97e08f577b4294fca98444b9e8371a1e6f50330c8c6f36739d4652e1115e800,D20,80,1.3088799715042114,1.3741834163665771,0.010957629419863224,0.02301890403032303,0.036679137498140335,1.5934354411410094,0.202334472501193,0.5391749143600464,0,1
43,epoch50,31,a97e08f577b4294fca98444b9e8371a1e6f50330c8c6f36739d4652e1115e800,D40,47,1.3088799715042114,1.3741834163665771,0.010957629419863224,0.07255734503269196,0.06582070887088776,0.9071543183013533,-0.04231882772934689,-0.0011085690930485725,1,1
43,best,0,886703586ffce1566642efa3528edf8bf420c0925651ae888df1adf072710d17,all,27,1.5580997467041016,1.3111540079116821,0.011907890439033508,0.03488893061876297,0.01200963370501995,0.34422475816903575,-0.4631578965026272,-0.2020173966884613,1,1
43,best,0,886703586ffce1566642efa3528edf8bf420c0925651ae888df1adf072710d17,D00,60,1.5580997467041016,1.3111540079116821,0.011907890439033508,0.12746311724185944,0.035996437072753906,0.28240669027771526,-0.549125018964861,-0.2874039113521576,1,1
43,best,0,886703586ffce1566642efa3528edf8bf420c0925651ae888df1adf072710d17,D10,105,1.5580997467041016,1.3111540079116821,0.011907890439033508,0.020382646471261978,0.021372009068727493,1.0485394572711861,0.020584777913162197,-0.466033399105072,1,1
43,best,0,886703586ffce1566642efa3528edf8bf420c0925651ae888df1adf072710d17,D20,100,1.5580997467041016,1.3111540079116821,0.011907890439033508,0.014471383765339851,0.009467060677707195,0.6541918057885785,-0.18429490002010385,-0.021643152460455894,1,1
43,best,1,2a6bc5cbae2770f2ef1e8306a3806f5601b8e59e9d7cce214dc29219d96ecf10,all,31,1.774423599243164,1.4367210865020752,0.014752136543393135,0.014423475600779057,0.011936365626752377,0.8275651415188484,-0.0821978108589425,0.4319938123226166,0,1
43,best,1,2a6bc5cbae2770f2ef1e8306a3806f5601b8e59e9d7cce214dc29219d96ecf10,D00,95,1.774423599243164,1.4367210865020752,0.014752136543393135,0.040991827845573425,0.02944832295179367,0.7183949704007576,-0.14363671689593516,0.4985392391681671,0,1
